SP ID	Social Network
1734	Nobility
1734	Court
1735	Elite
1735	Nobility
1735	Court
1736	Elite
1736	Nobility
1737	Elite
1737	Nobility
1737	Court
1738	Elite
1738	Nobility
1738	Court
1739	Elite
1739	Nobility
1739	Court
1740	Elite
1740	Nobility
1740	Court
1741	Elite
1741	Nobility
1741	Court
1742	Elite
1742	Nobility
1742	Court
1743	Elite
1743	Nobility
1743	Court
1744	Elite
1744	Nobility
1744	Court
1745	Elite
1745	Nobility
1745	Court
1746	Elite
1746	Nobility
1746	Court
1747	Elite
1747	Nobility
1747	Court
1748	Elite
1748	Nobility
1748	Court
1749	Elite
1749	Nobility
1749	Court
1750	Elite
1750	Nobility
1750	Court
1751	Elite
1751	Nobility
1751	Court
1752	Elite
1752	Nobility
1752	Court
1755	Government
1755	Elite
1756	Elite
1756	Government
1757	Nobility
1758	Nobility
1760	Elite
1761	Elite
1762	Military
1762	Elite
1762	Nobility
1762	Government
1763	Government
1765	Elite
1767	Nobility
1767	Elite
1767	Government
1770	Elite
1770	Nobility
1770	Government
1771	Nobility
1771	Elite
1771	Military
1772	Nobility
1772	Elite
1773	Elite
1774	Nobility
1774	Elite
1774	Government
1774	Court
1774	Military
1775	Nobility
1775	Elite
1775	Government
1775	Court
1775	Military
1776	Elite
1777	Government
1777	Elite
1778	Government
1780	Nobility
1780	Elite
1781	Nobility
1781	Government
1781	Military
1781	Elite
