SP ID	EgoNetworksCombined
1521	Scudery
1522	Scudery
1523	Scudery
1524	Scudery
1525	Scudery
1526	Scudery
1527	Scudery
1528	Scudery
1529	Scudery
1530	Scudery
1531	Scudery
1532	Scudery
1533	Scudery
1534	Scudery
1535	Scudery
1536	Scudery
1537	Scudery
1538	Scudery
1539	Scudery
1540	Scudery
1541	Scudery
1542	Scudery
1543	Scudery
1544	Scudery
1545	Scudery
1546	Scudery
1547	Scudery
1548	Scudery
1549	Scudery
1550	Scudery
1551	Scudery
1552	Scudery
1553	Scudery
1554	Scudery
1555	Scudery
1556	Scudery
1557	Scudery
1558	Scudery
1559	Scudery
1560	Scudery
1561	Scudery
1562	Scudery
1563	Scudery
1564	Scudery
1565	Scudery
1566	Scudery
1567	Scudery
1568	Scudery
1569	Scudery
1570	Scudery
1571	Scudery
1572	Scudery
1573	Scudery
1574	Scudery
1575	Voltaire
1575	D'Alembert
1575	Rousseau
1575	Lespinasse
1576	Bentham
1576	Stael
1577	Stael
1578	Stael
1579	Stael
1580	Stael
1581	Stael
1582	Stael
1583	Stael
1584	Stael
1585	Stael
1586	Stael
1587	Stael
1588	Stael
1589	Stael
1590	Stael
1591	Stael
1592	Stael
1593	Stael
1594	Stael
1595	Stael
1596	Stael
1597	Stael
1598	Stael
1599	Stael
1600	Stael
1601	Stael
1602	Stael
1603	Stael
1604	Stael
1605	Stael
1606	Stael
1607	Stael
1608	Stael
1609	Stael
1610	Stael
1611	Stael
1612	Stael
1613	Stael
1614	Stael
1615	Stael
1616	Stael
1617	Stael
1618	Stael
1619	Stael
1620	Stael
1621	Stael
1622	Stael
1623	Stael
1624	Stael
1625	Stael
1626	Stael
1627	Stael
1628	Stael
1629	Stael
1630	Stael
1631	Stanislas
1632	Tencin
1633	Tencin
1634	Voltaire
1634	Tencin
1635	Voltaire
1635	Tencin
1636	Tencin
1637	Voltaire
1637	Tencin
1638	Tencin
1639	Voltaire
1639	Rousseau
1639	Tencin
1640	Voltaire
1640	Tencin
1641	Voltaire
1641	Rousseau
1641	Tencin
1642	Tencin
1643	Tencin
1644	Tencin
1645	Tencin
1646	Tencin
1647	Tencin
1648	Tencin
1649	Tencin
1650	Tencin
1651	Tencin
1652	Tencin
1653	Tencin
1654	Tencin
1655	Tencin
1656	Tencin
1657	Tencin
1658	Tencin
1659	Tencin
1660	Tencin
1661	Tencin
1661	Quinault
1662	Tencin
1663	Tencin
1663	Lambert
1664	Tencin
1664	Lambert
1665	Voltaire
1665	D'Alembert
1665	Rousseau
1665	Encyclopedistes
1665	Tencin
1665	Graffigny
1666	Voltaire
1666	Tencin
1666	Epinay
1666	Holbach
1667	Rousseau
1667	Tencin
1668	Voltaire
1668	Tencin
1668	Geoffrin
1669	D'Alembert
1669	Tencin
1669	Geoffrin
1670	Deffand
1671	Deffand
1672	Deffand
1673	Deffand
1674	LaReyniere
1675	Deffand
1676	Deffand
1677	Deffand
1678	Deffand
1679	Deffand
1680	Deffand
1681	Deffand
1682	Deffand
1683	Deffand
1684	Deffand
1685	Deffand
1686	Deffand
1687	Deffand
1688	Deffand
1689	Deffand
1690	Deffand
1691	Deffand
1692	Deffand
1693	Deffand
1694	Deffand
1695	Deffand
1696	Deffand
1697	Deffand
1698	Deffand
1699	Deffand
1700	Deffand
1701	Deffand
1701	Necker
1702	Deffand
1703	Deffand
1704	Deffand
1704	Genlis
1705	Deffand
1706	Deffand
1707	Deffand
1708	Deffand
1709	Voltaire
1709	D'Alembert
1709	Necker
1709	Deffand
1709	Graffigny
1710	Deffand
1711	Deffand
1712	Deffand
1713	Deffand
1714	Deffand
1715	Deffand
1716	Deffand
1717	Deffand
1718	Deffand
1719	Deffand
1720	Deffand
1721	Deffand
1722	Voltaire
1722	Deffand
1722	Geoffrin
1723	D'Alembert
1723	Deffand
1724	Voltaire
1724	Deffand
1725	D'Alembert
1725	Deffand
1726	Voltaire
1726	Deffand
1727	Deffand
1728	Voltaire
1728	Deffand
